[2026-09-13 21:25:19 TP0 EP0] Decode batch, #running-req: 1, #full token: 81920, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.03, #queue-req: 0
[2026-09-13 21:25:20 TP0 EP0] Decode batch, #running-req: 1, #full token: 81920, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.11, #queue-req: 0
[2026-09-13 21:25:20 TP0 EP0] Decode batch, #running-req: 1, #full token: 82176, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.36, #queue-req: 0
[2026-09-13 21:25:20 TP0 EP0] Decode batch, #running-req: 1, #full token: 82432, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.14, #queue-req: 0
[2026-09-13 21:25:21 TP0 EP0] Decode batch, #running-req: 1, #full token: 82688, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 686.94, #queue-req: 0
[2026-09-13 21:25:21 TP0 EP0] Decode batch, #running-req: 1, #full token: 82944, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.76, #queue-req: 0
[2026-09-13 21:25:21 TP0 EP0] Decode batch, #running-req: 1, #full token: 83200, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.96, #queue-req: 0
[2026-09-13 21:25:22 TP0 EP0] Decode batch, #running-req: 1, #full token: 83456, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.97, #queue-req: 0
[2026-09-13 21:25:22 TP0 EP0] Decode batch, #running-req: 1, #full token: 83712, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.49, #queue-req: 0
[2026-09-13 21:25:22 TP0 EP0] Decode batch, #running-req: 1, #full token: 83968, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.26, #queue-req: 0
[2026-09-13 21:25:23 TP0 EP0] Decode batch, #running-req: 1, #full token: 84224, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.18, #queue-req: 0
[2026-09-13 21:25:23 TP0 EP0] Decode batch, #running-req: 1, #full token: 84480, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.61, #queue-req: 0
[2026-09-13 21:25:23 TP0 EP0] Decode batch, #running-req: 1, #full token: 84736, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 686.92, #queue-req: 0
[2026-09-13 21:25:24 TP0 EP0] Decode batch, #running-req: 1, #full token: 84992, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.86, #queue-req: 0
[2026-09-13 21:25:24 TP0 EP0] Decode batch, #running-req: 1, #full token: 85248, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.18, #queue-req: 0
[2026-09-13 21:25:25 TP0 EP0] Decode batch, #running-req: 1, #full token: 85504, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 686.69, #queue-req: 0
[2026-09-13 21:25:25 TP0 EP0] Decode batch, #running-req: 1, #full token: 85760, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.15, #queue-req: 0
